index,date,n
46,200405,1
66,200405,1
69,200405,1
72,200405,1
84,200405,1
91,200405,2
104,200405,1
186,200405,1
190,200405,2
231,200405,1
232,200405,1
254,200405,1
272,200405,2
276,200405,3
294,200405,1
295,200405,3
299,200405,4
317,200405,2
321,200405,2
323,200405,2
345,200405,1
347,200405,1
352,200405,1
365,200405,1
408,200405,1
410,200405,1
413,200405,1
497,200405,1
574,200405,1
610,200405,1
680,200405,1
687,200405,1
692,200405,1
713,200405,3
715,200405,1
718,200405,4
742,200405,1
745,200405,3
766,200405,1
767,200405,4
769,200405,2
776,200405,1
787,200405,1
792,200405,2
794,200405,10
809,200405,1
819,200405,3
822,200405,1
825,200405,1
846,200405,2
897,200405,1
923,200405,1
929,200405,1
930,200405,1
949,200405,1
954,200405,4
970,200405,1
973,200405,1
979,200405,4
999,200405,4
1002,200405,1
1004,200405,2
1026,200405,6
1044,200405,1
1045,200405,2
1046,200405,1
1048,200405,1
1049,200405,1
1050,200405,4
1067,200405,6
1070,200405,3
1072,200405,6
1073,200405,1
1074,200405,4
1075,200405,1
1090,200405,3
1091,200405,2
1093,200405,1
1094,200405,4
1095,200405,3
1109,200405,1
1112,200405,7
1113,200405,2
1117,200405,1
1119,200405,1
1132,200405,1
1133,200405,1
1134,200405,3
1135,200405,8
1136,200405,1
1138,200405,1
1139,200405,1
1152,200405,1
1155,200405,5
1156,200405,13
1157,200405,12
1158,200405,6
1160,200405,2
1175,200405,1
1177,200405,22
1178,200405,17
1179,200405,5
1180,200405,3
1181,200405,1
1194,200405,2
1196,200405,6
1197,200405,27
1198,200405,35
1199,200405,11
1202,200405,1
1213,200405,2
1214,200405,6
1215,200405,34
1216,200405,44
1217,200405,22
1218,200405,2
1227,200405,1
1228,200405,4
1229,200405,34
1230,200405,85
1231,200405,39
1232,200405,11
1233,200405,1
1242,200405,15
1243,200405,34
1244,200405,131
1245,200405,13
1246,200405,2
1256,200405,14
1257,200405,96
1258,200405,48
1259,200405,6
1261,200405,1
1270,200405,13
1271,200405,52
1272,200405,27
1273,200405,1
1282,200405,80
1283,200405,27
1284,200405,12
1286,200405,1
1287,200405,1
1294,200405,112
1295,200405,29
1305,200405,5
1306,200405,14
1307,200405,14
1317,200405,1
1318,200405,7
1319,200405,2
1320,200405,1
1328,200405,4
1338,200405,1
1350,200405,2
1355,200405,1
1364,200405,1
1369,200405,1
1396,200405,1
1719,200405,3
344,200308,2
413,200309,1
1091,200309,1
1135,200309,1
1198,200309,1
1258,200309,1
718,200310,1
1135,200310,1
1197,200310,1
610,200311,1
1045,200311,2
1090,200311,1
1156,200311,1
1157,200311,2
1178,200311,1
1294,200311,1
1363,200311,1
253,200312,1
254,200312,1
523,200312,1
818,200312,1
1005,200312,1
1067,200312,1
1091,200312,2
1112,200312,1
1175,200312,1
1215,200312,1
1216,200312,3
1258,200312,1
1282,200312,4
1283,200312,1
1363,200312,1
181,200313,1
277,200313,1
344,200313,1
680,200313,1
720,200313,1
1045,200313,1
1067,200313,2
1112,200313,1
1115,200313,1
1157,200313,1
1194,200313,1
1197,200313,1
1216,200313,1
1229,200313,1
1231,200313,3
1232,200313,1
1244,200313,1
1245,200313,1
1258,200313,1
1271,200313,2
1282,200313,1
1283,200313,2
1294,200313,1
1295,200313,2
1306,200313,1
1307,200313,1
1308,200313,1
374,200314,1
1215,200314,1
1216,200314,1
1243,200314,1
1244,200314,2
1257,200314,4
1270,200314,1
1273,200314,1
1282,200314,1
1294,200314,2
1295,200314,2
1306,200314,2
127,200315,1
295,200315,1
770,200315,1
1067,200315,2
1198,200315,2
1213,200315,1
1230,200315,1
1243,200315,1
1244,200315,4
1258,200315,1
1271,200315,2
1272,200315,1
1283,200315,1
1284,200315,1
1294,200315,5
1295,200315,1
1297,200315,1
1328,200315,1
1355,200315,1
51,200316,1
358,200316,1
366,200316,1
470,200316,1
608,200316,1
692,200316,2
1067,200316,2
1091,200316,2
1178,200316,1
1195,200316,1
1196,200316,1
1197,200316,1
1198,200316,1
1215,200316,1
1216,200316,3
1229,200316,1
1230,200316,2
1234,200316,1
1242,200316,2
1243,200316,1
1244,200316,3
1256,200316,1
1257,200316,1
1258,200316,1
1271,200316,1
1272,200316,1
1274,200316,1
1282,200316,2
1283,200316,4
1294,200316,6
1295,200316,1
1305,200316,1
1306,200316,2
1318,200316,1
1328,200316,1
1364,200316,1
288,200317,1
435,200317,1
718,200317,1
719,200317,1
720,200317,1
770,200317,1
803,200317,1
880,200317,2
995,200317,1
1026,200317,1
1045,200317,3
1047,200317,1
1067,200317,3
1072,200317,1
1134,200317,1
1157,200317,1
1178,200317,1
1197,200317,2
1198,200317,3
1216,200317,4
1217,200317,3
1220,200317,1
1228,200317,1
1230,200317,4
1231,200317,12
1232,200317,1
1233,200317,1
1242,200317,2
1243,200317,2
1244,200317,9
1245,200317,3
1257,200317,4
1259,200317,1
1270,200317,1
1271,200317,3
1272,200317,1
1282,200317,2
1283,200317,2
1294,200317,5
1295,200317,5
1306,200317,1
1307,200317,2
1349,200317,1
1363,200317,1
45,200318,2
48,200318,1
72,200318,1
110,200318,1
129,200318,1
168,200318,1
295,200318,1
321,200318,1
322,200318,1
